No	Time	DC/AC	Value	Unit	AUTO
250	16:30:22	DC	00,12	mA	pass
251	16:30:23	DC	00,12	mA	pass
252	16:30:24	DC	00,11	mA	pass
253	16:30:24	DC	00,60	mA	pass
254	16:30:25	DC	00,12	mA	pass
255	16:30:25	DC	00,12	mA	pass
256	16:30:26	DC	00,12	mA	pass
257	16:30:27	DC	00,11	mA	pass
258	16:30:27	DC	00,11	mA	pass
259	16:30:28	DC	00,11	mA	pass
260	16:30:28	DC	00,13	mA	pass
261	16:30:29	DC	00,12	mA	pass
262	16:30:29	DC	00,12	mA	pass
263	16:30:30	DC	00,11	mA	pass
264	16:30:31	DC	00,12	mA	pass
265	16:30:31	DC	00,12	mA	pass
266	16:30:32	DC	00,11	mA	pass
267	16:30:32	DC	00,11	mA	pass
268	16:30:33	DC	00,11	mA	pass
269	16:30:34	DC	00,11	mA	pass
270	16:30:34	DC	00,60	mA	pass
271	16:30:35	DC	00,11	mA	pass
272	16:30:35	DC	00,11	mA	pass
273	16:30:36	DC	00,12	mA	pass
274	16:30:36	DC	00,12	mA	pass
275	16:30:37	DC	00,12	mA	pass
276	16:30:38	DC	00,59	mA	pass
277	16:30:38	DC	00,13	mA	pass
278	16:30:39	DC	00,12	mA	pass
279	16:30:39	DC	00,12	mA	pass
280	16:30:40	DC	00,12	mA	pass
281	16:30:40	DC	00,12	mA	pass
282	16:30:41	DC	00,11	mA	pass
283	16:30:42	DC	00,11	mA	pass
284	16:30:42	DC	00,12	mA	pass
285	16:30:43	DC	00,12	mA	pass
286	16:30:43	DC	00,12	mA	pass
287	16:30:44	DC	00,44	mA	pass
288	16:30:45	DC	00,11	mA	pass
289	16:30:45	DC	00,11	mA	pass
290	16:30:46	DC	00,11	mA	pass
291	16:30:46	DC	00,26	mA	pass
292	16:30:47	DC	00,13	mA	pass
293	16:30:47	DC	00,12	mA	pass
294	16:30:48	DC	00,12	mA	pass
295	16:30:49	DC	00,12	mA	pass
296	16:30:49	DC	00,11	mA	pass
297	16:30:50	DC	00,11	mA	pass
298	16:30:50	DC	00,60	mA	pass
299	16:30:51	DC	00,12	mA	pass
300	16:30:52	DC	00,12	mA	pass
301	16:30:52	DC	00,12	mA	pass
302	16:30:53	DC	00,59	mA	pass
303	16:30:53	DC	00,11	mA	pass
304	16:30:54	DC	00,11	mA	pass
305	16:30:54	DC	00,11	mA	pass
306	16:30:55	DC	00,11	mA	pass
307	16:30:56	DC	00,11	mA	pass
308	16:30:56	DC	00,59	mA	pass
309	16:30:57	DC	00,12	mA	pass
310	16:30:57	DC	00,12	mA	pass
311	16:30:58	DC	00,12	mA	pass
312	16:30:59	DC	00,11	mA	pass
313	16:30:59	DC	00,12	mA	pass
314	16:31:00	DC	00,12	mA	pass
315	16:31:00	DC	00,12	mA	pass
316	16:31:01	DC	00,12	mA	pass
317	16:31:01	DC	00,11	mA	pass
318	16:31:02	DC	00,11	mA	pass
319	16:31:03	DC	00,11	mA	pass
320	16:31:03	DC	00,12	mA	pass
321	16:31:04	DC	00,12	mA	pass
322	16:31:04	DC	00,12	mA	pass
323	16:31:05	DC	00,12	mA	pass
324	16:31:05	DC	00,12	mA	pass
325	16:31:06	DC	00,12	mA	pass
326	16:31:07	DC	00,12	mA	pass
327	16:31:07	DC	00,12	mA	pass
328	16:31:08	DC	00,12	mA	pass
329	16:31:08	DC	00,12	mA	pass
330	16:31:09	DC	00,12	mA	pass
331	16:31:10	DC	00,57	mA	pass
332	16:31:10	DC	00,12	mA	pass
333	16:31:11	DC	00,11	mA	pass
334	16:31:11	DC	00,11	mA	pass
335	16:31:12	DC	00,11	mA	pass
336	16:31:12	DC	00,12	mA	pass
337	16:31:13	DC	00,11	mA	pass
338	16:31:14	DC	00,11	mA	pass
339	16:31:14	DC	00,11	mA	pass
340	16:31:15	DC	00,11	mA	pass
341	16:31:15	DC	00,11	mA	pass
342	16:31:16	DC	00,58	mA	pass
343	16:31:16	DC	00,12	mA	pass
344	16:31:17	DC	00,12	mA	pass
345	16:31:18	DC	00,12	mA	pass
346	16:31:18	DC	00,12	mA	pass
347	16:31:19	DC	00,12	mA	pass
348	16:31:19	DC	00,12	mA	pass
349	16:31:20	DC	00,12	mA	pass
350	16:31:20	DC	00,12	mA	pass
351	16:31:21	DC	00,11	mA	pass
352	16:31:22	DC	00,12	mA	pass
353	16:31:22	DC	00,60	mA	pass
354	16:31:23	DC	00,12	mA	pass
355	16:31:24	DC	00,12	mA	pass
356	16:31:24	DC	00,11	mA	pass
357	16:31:25	DC	00,52	mA	pass
358	16:31:25	DC	00,12	mA	pass
359	16:31:26	DC	00,12	mA	pass
360	16:31:26	DC	00,58	mA	pass
361	16:31:27	DC	00,12	mA	pass
362	16:31:28	DC	00,11	mA	pass
363	16:31:28	DC	00,11	mA	pass
364	16:31:29	DC	00,12	mA	pass
365	16:31:29	DC	00,12	mA	pass
366	16:31:30	DC	00,12	mA	pass
367	16:31:31	DC	00,11	mA	pass
368	16:31:31	DC	00,14	mA	pass
369	16:31:32	DC	00,14	mA	pass
370	16:31:32	DC	00,12	mA	pass
371	16:31:33	DC	00,12	mA	pass
372	16:31:33	DC	00,12	mA	pass
373	16:31:34	DC	00,11	mA	pass
374	16:31:35	DC	00,12	mA	pass
375	16:31:35	DC	00,12	mA	pass
376	16:31:36	DC	00,24	mA	pass
377	16:31:36	DC	00,12	mA	pass
378	16:31:37	DC	00,12	mA	pass
379	16:31:37	DC	00,12	mA	pass
380	16:31:38	DC	00,44	mA	pass
