,meas0,meas1,meas2,meas3,meas4,meas5,meas6,meas7,meas8
107,1168.0,1328.0,1328.0,1248.0,1328.0,1248.0,1008.0,1408.0,1008.0
108,1168.0,1328.0,1408.0,912.0,1248.0,1328.0,1248.0,1328.0,1744.0
109,1088.0,1328.0,1408.0,1088.0,1168.0,1328.0,1168.0,1328.0,2320.0
110,1008.0,1328.0,1168.0,1088.0,1168.0,1168.0,1168.0,1328.0,2320.0
111,1088.0,1408.0,1088.0,1168.0,1328.0,1248.0,1088.0,1248.0,1328.0
112,1248.0,1408.0,1008.0,1248.0,1248.0,1328.0,1088.0,1248.0,1168.0
113,1248.0,1408.0,1008.0,1248.0,1248.0,1248.0,1088.0,1328.0,1248.0
114,1168.0,1408.0,1008.0,1328.0,1328.0,1168.0,1088.0,1248.0,1248.0
115,1088.0,1248.0,1088.0,1168.0,1328.0,1328.0,1008.0,1248.0,1248.0
116,912.0,1088.0,1008.0,1168.0,1488.0,1168.0,1248.0,1248.0,1248.0
117,912.0,1248.0,1088.0,1168.0,1664.0,1168.0,1248.0,1168.0,1088.0
118,1168.0,1328.0,1088.0,1408.0,1584.0,1168.0,1168.0,1168.0,1168.0
119,1088.0,1408.0,1088.0,1408.0,1328.0,1248.0,1168.0,1328.0,1248.0
120,1248.0,1328.0,1248.0,1168.0,1328.0,1168.0,1088.0,1328.0,1248.0
121,1248.0,1328.0,1248.0,1168.0,1328.0,1168.0,912.0,1248.0,1088.0
122,1248.0,1328.0,1168.0,1088.0,1408.0,1168.0,1168.0,1248.0,1168.0
123,1088.0,1328.0,1248.0,1168.0,1328.0,1248.0,1088.0,1328.0,1168.0
124,1088.0,1408.0,1088.0,1088.0,1408.0,1328.0,1088.0,1248.0,1088.0
125,1088.0,1328.0,1168.0,1088.0,1408.0,1248.0,912.0,1088.0,1168.0
126,1168.0,1248.0,1008.0,1088.0,1408.0,1328.0,1008.0,1008.0,1008.0
127,1088.0,1168.0,1088.0,1008.0,1408.0,1328.0,1008.0,1168.0,1008.0
128,1088.0,1408.0,912.0,1088.0,1408.0,1328.0,1008.0,1168.0,912.0
129,1168.0,1408.0,1088.0,1088.0,1328.0,1248.0,912.0,1248.0,1168.0
130,1248.0,1408.0,1168.0,1168.0,1488.0,1408.0,912.0,1248.0,1168.0
131,1248.0,1408.0,1328.0,1168.0,1488.0,1328.0,1008.0,1088.0,1248.0
132,1168.0,1328.0,1248.0,1328.0,1408.0,1328.0,912.0,1328.0,1168.0
133,912.0,1248.0,1168.0,1168.0,1328.0,1248.0,1008.0,1328.0,1248.0
134,1088.0,1248.0,1328.0,1168.0,1168.0,1248.0,1088.0,1408.0,1088.0
135,1168.0,1168.0,1248.0,1248.0,1168.0,1248.0,1088.0,1248.0,1168.0
136,1088.0,1168.0,1168.0,1328.0,1248.0,1328.0,1088.0,1408.0,1168.0
137,1088.0,1248.0,1248.0,1408.0,1328.0,1328.0,1088.0,1328.0,1168.0
138,1088.0,1408.0,1328.0,1248.0,1408.0,1328.0,1168.0,1488.0,1088.0
139,1088.0,1328.0,1328.0,1088.0,1248.0,1408.0,1248.0,1248.0,1168.0
140,1168.0,1408.0,1408.0,1088.0,1248.0,1248.0,1328.0,1328.0,1168.0
141,1168.0,1328.0,1328.0,1168.0,1248.0,1088.0,1328.0,1248.0,1168.0
142,1088.0,1408.0,1328.0,1088.0,1248.0,1168.0,1168.0,1248.0,1088.0
143,1088.0,1408.0,1248.0,1248.0,1248.0,1248.0,1088.0,1248.0,1168.0
144,1248.0,1328.0,1008.0,1168.0,1248.0,1248.0,1088.0,1168.0,1008.0
145,1088.0,1248.0,1088.0,1168.0,1248.0,1328.0,1168.0,1088.0,1248.0
146,1168.0,1328.0,1008.0,1168.0,1248.0,1408.0,1248.0,1328.0,1168.0
147,1088.0,1248.0,1088.0,1488.0,1248.0,1168.0,1008.0,1168.0,1248.0
148,1008.0,1328.0,1088.0,1488.0,1408.0,1168.0,1088.0,1248.0,1248.0
149,1008.0,1408.0,1088.0,1248.0,1408.0,1248.0,1088.0,1168.0,1328.0
150,1168.0,1328.0,1008.0,1088.0,1328.0,1248.0,1008.0,1168.0,1328.0
151,1168.0,1488.0,1088.0,1088.0,1328.0,1248.0,1168.0,1168.0,1248.0
152,1168.0,1328.0,1008.0,1088.0,1328.0,1168.0,1088.0,1168.0,1168.0
153,1328.0,1408.0,1088.0,1168.0,1328.0,1088.0,1168.0,1168.0,1168.0
154,1168.0,1328.0,1088.0,1168.0,1328.0,1248.0,1088.0,1328.0,1168.0
155,1168.0,1328.0,1008.0,1248.0,1248.0,1328.0,1008.0,1328.0,1248.0
156,1168.0,1328.0,1008.0,1168.0,1248.0,1408.0,1088.0,1328.0,1248.0
